name,description
Expanding Force,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Increases power and hits all opponents on Psychic Terrain.
Prob. (%): nan
"
Explosion,"Power: 250.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: User faints.
Prob. (%): nan
"
Extrasensory,"Power: 80.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: May cause flinching.
Prob. (%): 10.0
"
Extreme Evoboost,"Power: nan
Acc.: nan
PP: 1.0
Damage Class: Status
Effect: Eevee-exclusive Z-Move. Sharply raises all stats.
Prob. (%): 100.0
"
Extreme Speed,"Power: 80.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: User attacks first.
Prob. (%): nan
"
Facade,"Power: 70.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Power doubles if user is burned, poisoned, or paralyzed.
Prob. (%): nan
"
Fairy Lock,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Prevents fleeing in the next turn.
Prob. (%): nan
"
Fairy Wind,"Power: 40.0
Acc.: 100
PP: 30.0
Damage Class: Special
Effect: nan
Prob. (%): nan
"
Fake Out,"Power: 40.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: User attacks first, foe flinches. Only usable on first turn.
Prob. (%): 100.0
"
Fake Tears,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Sharply lowers opponent's Special Defense.
Prob. (%): nan
"
False Surrender,"Power: 80.0
Acc.: ∞
PP: 10.0
Damage Class: Physical
Effect: Ignores Accuracy and Evasiveness.
Prob. (%): nan
"
False Swipe,"Power: 40.0
Acc.: 100
PP: 40.0
Damage Class: Physical
Effect: Always leaves opponent with at least 1 HP.
Prob. (%): nan
"
Feather Dance,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: Sharply lowers opponent's Attack.
Prob. (%): nan
"
Feint,"Power: 30.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Only hits if opponent uses Protect or Detect in the same turn.
Prob. (%): nan
"
Feint Attack,"Power: 60.0
Acc.: ∞
PP: 20.0
Damage Class: Physical
Effect: Ignores Accuracy and Evasiveness.
Prob. (%): nan
"
Fell Stinger,"Power: 50.0
Acc.: 100
PP: 25.0
Damage Class: Physical
Effect: Drastically raises user's Attack if target is KO'd.
Prob. (%): nan
"
Fiery Dance,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May raise user's Special Attack.
Prob. (%): 50.0
"
Fiery Wrath,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May cause flinching.
Prob. (%): 20.0
"
Final Gambit,"Power: nan
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: Inflicts damage equal to the user's remaining HP. User faints.
Prob. (%): nan
"
Fire Blast,"Power: 110.0
Acc.: 85
PP: 5.0
Damage Class: Special
Effect: May burn opponent.
Prob. (%): 10.0
"
Fire Fang,"Power: 65.0
Acc.: 95
PP: 15.0
Damage Class: Physical
Effect: May cause flinching and/or burn opponent.
Prob. (%): 10.0
"
Fire Lash,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: The user strikes the target with a burning lash. This also lowers the target's Defense stat.
Prob. (%): 100.0
"
Fire Pledge,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Added effects appear if combined with Grass Pledge or Water Pledge.
Prob. (%): nan
"
Fire Punch,"Power: 75.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: May burn opponent.
Prob. (%): 10.0
"
Fire Spin,"Power: 35.0
Acc.: 85
PP: 15.0
Damage Class: Special
Effect: Traps opponent, damaging them for 4-5 turns.
Prob. (%): 100.0
"
First Impression,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Although this move has great power, it only works the first turn the user is in battle.
Prob. (%): nan
"
Fishious Rend,"Power: 85.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: If the user attacks before the target, the power of this move is doubled.
Prob. (%): nan
"
Fissure,"Power: nan
Acc.: 30
PP: 5.0
Damage Class: Physical
Effect: One-Hit-KO, if it hits.
Prob. (%): nan
"
Flail,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: The lower the user's HP, the higher the power.
Prob. (%): nan
"
Flame Burst,"Power: 70.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: May also injure nearby Pokémon.
Prob. (%): nan
"
Flame Charge,"Power: 50.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Raises user's Speed.
Prob. (%): 100.0
"
Flame Wheel,"Power: 60.0
Acc.: 100
PP: 25.0
Damage Class: Physical
Effect: May burn opponent.
Prob. (%): 10.0
"
Flamethrower,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: May burn opponent.
Prob. (%): 10.0
"
Flare Blitz,"Power: 120.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: User receives recoil damage. May burn opponent.
Prob. (%): 10.0
"
Flash,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Lowers opponent's Accuracy.
Prob. (%): nan
"
Flash Cannon,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May lower opponent's Special Defense.
Prob. (%): 10.0
"
Flatter,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: Confuses opponent, but raises its Special Attack.
Prob. (%): nan
"
Fleur Cannon,"Power: 130.0
Acc.: 90
PP: 5.0
Damage Class: Special
Effect: Sharply lowers user's Special Attack.
Prob. (%): 100.0
"
Fling,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Power depends on held item.
Prob. (%): nan
"
Flip Turn,"Power: 60.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: After making its attack, the user rushes back to switch places with a party Pokémon in waiting.
Prob. (%): nan
"
Floaty Fall,"Power: 90.0
Acc.: 95
PP: 15.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 30.0
"
Floral Healing,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: The user restores the target's HP by up to half of its max HP. It restores more HP when the terrain is grass.
Prob. (%): nan
"
Flower Shield,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Sharply raises Defense of all Grass-type Pokémon on the field.
Prob. (%): 100.0
"
Fly,"Power: 90.0
Acc.: 95
PP: 15.0
Damage Class: Physical
Effect: Flies up on first turn, attacks on second turn.
Prob. (%): nan
"
Flying Press,"Power: 100.0
Acc.: 95
PP: 10.0
Damage Class: Physical
Effect: Deals Fighting and Flying type damage.
Prob. (%): nan
"
Focus Blast,"Power: 120.0
Acc.: 70
PP: 5.0
Damage Class: Special
Effect: May lower opponent's Special Defense.
Prob. (%): 10.0
"
Focus Energy,"Power: nan
Acc.: nan
PP: 30.0
Damage Class: Status
Effect: Increases critical hit ratio.
Prob. (%): nan
"
Focus Punch,"Power: 150.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: If the user is hit before attacking, it flinches instead.
Prob. (%): nan
"
Follow Me,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: In Double Battle, the user takes all the attacks.
Prob. (%): nan
"
Force Palm,"Power: 60.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: May paralyze opponent.
Prob. (%): 30.0
"
Foresight,"Power: nan
Acc.: nan
PP: 40.0
Damage Class: Status
Effect: Resets opponent's Evasiveness, Normal-type and Fighting-type attacks can now hit Ghosts, and Ghost-type attacks hit Normal.
Prob. (%): nan
"
Forest'S Curse,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Adds Grass type to opponent.
Prob. (%): nan
"
Foul Play,"Power: 95.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: Uses the opponent's Attack stat.
Prob. (%): nan
"
Freeze Dry,"Power: 70.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: May freeze opponent. Super-effective against Water types.
Prob. (%): 10.0
"
Freeze Shock,"Power: 140.0
Acc.: 90
PP: 5.0
Damage Class: Physical
Effect: Charges on first turn, attacks on second. May paralyze opponent.
Prob. (%): 30.0
"
Freezing Glare,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May freeze opponent.
Prob. (%): 10.0
"
Freezy Frost,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Resets all stat changes.
Prob. (%): nan
"
Frenzy Plant,"Power: 150.0
Acc.: 90
PP: 5.0
Damage Class: Special
Effect: User must recharge next turn.
Prob. (%): nan
"
Frost Breath,"Power: 60.0
Acc.: 90
PP: 10.0
Damage Class: Special
Effect: Always results in a critical hit.
Prob. (%): 100.0
"
Frustration,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Power decreases with higher Friendship.
Prob. (%): nan
"
Fury Attack,"Power: 15.0
Acc.: 85
PP: 20.0
Damage Class: Physical
Effect: Hits 2-5 times in one turn.
Prob. (%): nan
"
Fury Cutter,"Power: 40.0
Acc.: 95
PP: 20.0
Damage Class: Physical
Effect: Power increases each turn.
Prob. (%): nan
"
Fury Swipes,"Power: 18.0
Acc.: 80
PP: 15.0
Damage Class: Physical
Effect: Hits 2-5 times in one turn.
Prob. (%): nan
"
Fusion Bolt,"Power: 100.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Power increases if Fusion Flare is used in the same turn.
Prob. (%): nan
"
Fusion Flare,"Power: 100.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: Power increases if Fusion Bolt is used in the same turn.
Prob. (%): nan
"
Future Sight,"Power: 120.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Damage occurs 2 turns later.
Prob. (%): nan
"
Gastro Acid,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Status
Effect: Cancels out the effect of the opponent's Ability.
Prob. (%): nan
"
Gear Grind,"Power: 50.0
Acc.: 85
PP: 15.0
Damage Class: Physical
Effect: Hits twice in one turn.
Prob. (%): nan
"
Gear Up,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.
Prob. (%): nan
"
Genesis Supernova,"Power: 185.0
Acc.: nan
PP: 1.0
Damage Class: Special
Effect: Mew-exclusive Z-Move.
Prob. (%): nan
"
Geomancy,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.
Prob. (%): nan
"
Giga Drain,"Power: 75.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: User recovers half the HP inflicted on opponent.
Prob. (%): nan
"
Giga Impact,"Power: 150.0
Acc.: 90
PP: 5.0
Damage Class: Physical
Effect: User must recharge next turn.
Prob. (%): nan
"
Glacial Lance,"Power: 130.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.
Prob. (%): nan
"
Glaciate,"Power: 65.0
Acc.: 95
PP: 10.0
Damage Class: Special
Effect: Lowers opponent's Speed.
Prob. (%): 100.0
"
Glare,"Power: nan
Acc.: 100
PP: 30.0
Damage Class: Status
Effect: Paralyzes opponent.
Prob. (%): nan
"
Glitzy Glow,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Reduces damage from Special attacks.
Prob. (%): nan
"
Grass Knot,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: The heavier the opponent, the stronger the attack.
Prob. (%): nan
"
Grass Pledge,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.
Prob. (%): nan
"
Grass Whistle,"Power: nan
Acc.: 55
PP: 15.0
Damage Class: Status
Effect: Puts opponent to sleep.
Prob. (%): nan
"
Grassy Glide,"Power: 70.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: High priority during Grassy Terrain.
Prob. (%): nan
"
Grassy Terrain,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Restores a little HP of all Pokémon for 5 turns.
Prob. (%): nan
"
Grav Apple,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Lowers the opponent's Defense stat.
Prob. (%): 100.0
"
Gravity,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.
Prob. (%): nan
"
Growl,"Power: nan
Acc.: 100
PP: 40.0
Damage Class: Status
Effect: Lowers opponent's Attack.
Prob. (%): nan
"
Growth,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: Raises user's Attack and Special Attack.
Prob. (%): nan
"
Grudge,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: If the users faints after using this move, the PP for the opponent's last move is depleted.
Prob. (%): nan
"
Guard Split,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Averages Defense and Special Defense with the target.
Prob. (%): nan
"
Guard Swap,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User and opponent swap Defense and Special Defense.
Prob. (%): nan
"
Guardian Of Alola,"Power: nan
Acc.: nan
PP: 1.0
Damage Class: Special
Effect: Tapu-exclusive Z-move. Cuts opponent's HP by 75%.
Prob. (%): nan
"
Guillotine,"Power: nan
Acc.: 30
PP: 5.0
Damage Class: Physical
Effect: One-Hit-KO, if it hits.
Prob. (%): nan
"
Gunk Shot,"Power: 120.0
Acc.: 80
PP: 5.0
Damage Class: Physical
Effect: May poison opponent.
Prob. (%): 30.0
"
Gust,"Power: 40.0
Acc.: 100
PP: 35.0
Damage Class: Special
Effect: Hits Pokémon using Fly/Bounce with double power.
Prob. (%): nan
"
Gyro Ball,"Power: nan
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: The slower the user, the stronger the attack.
Prob. (%): nan
"
Hail,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Non-Ice types are damaged for 5 turns.
Prob. (%): nan
"
Hammer Arm,"Power: 100.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: Lowers user's Speed.
Prob. (%): 100.0
"
Happy Hour,"Power: nan
Acc.: nan
PP: 30.0
Damage Class: Status
Effect: Doubles prize money from trainer battles.
Prob. (%): nan
"
Harden,"Power: nan
Acc.: nan
PP: 30.0
Damage Class: Status
Effect: Raises user's Defense.
Prob. (%): nan
"
Haze,"Power: nan
Acc.: nan
PP: 30.0
Damage Class: Status
Effect: Resets all stat changes.
Prob. (%): nan
"
Head Charge,"Power: 120.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: User receives recoil damage.
Prob. (%): nan
"
Head Smash,"Power: 150.0
Acc.: 80
PP: 5.0
Damage Class: Physical
Effect: User receives recoil damage.
Prob. (%): nan
"
Headbutt,"Power: 70.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 30.0
"
Heal Bell,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: Heals the user's party's status conditions.
Prob. (%): nan
"
Heal Block,"Power: nan
Acc.: 100
PP: 15.0
Damage Class: Status
Effect: Prevents the opponent from restoring HP for 5 turns.
Prob. (%): nan
"
Heal Order,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User recovers half its max HP.
Prob. (%): nan
"
Heal Pulse,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Restores half the target's max HP.
Prob. (%): nan
"
Healing Wish,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: The user faints and the next Pokémon released is fully healed.
Prob. (%): nan
"
Heart Stamp,"Power: 60.0
Acc.: 100
PP: 25.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 30.0
"
Heart Swap,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Stat changes are swapped with the opponent.
Prob. (%): nan
"
Heat Crash,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: The heavier the user, the stronger the attack.
Prob. (%): nan
"
Heat Wave,"Power: 95.0
Acc.: 90
PP: 10.0
Damage Class: Special
Effect: May burn opponent.
Prob. (%): 10.0
"
Heavy Slam,"Power: nan
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: The heavier the user, the stronger the attack.
Prob. (%): nan
"
Helping Hand,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: In Double Battles, boosts the power of the partner's move.
Prob. (%): nan
"
Hex,"Power: 65.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Inflicts more damage if the target has a status condition.
Prob. (%): nan
"
Hidden Power,"Power: 60.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Type and power depends on user's IVs.
Prob. (%): nan
"
High Horsepower,"Power: 95.0
Acc.: 95
PP: 10.0
Damage Class: Physical
Effect: The user fiercely attacks the target using its entire body.
Prob. (%): nan
"
High Jump Kick,"Power: 130.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: If it misses, the user loses half their HP.
Prob. (%): nan
"
Hold Back,"Power: 40.0
Acc.: 100
PP: 40.0
Damage Class: Physical
Effect: Always leaves opponent with at least 1 HP.
Prob. (%): nan
"
Hold Hands,"Power: nan
Acc.: nan
PP: 40.0
Damage Class: Status
Effect: Makes the user and an ally very happy.
Prob. (%): nan
"
Hone Claws,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Raises user's Attack and Accuracy.
Prob. (%): nan
"
Horn Attack,"Power: 65.0
Acc.: 100
PP: 25.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Horn Drill,"Power: nan
Acc.: 30
PP: 5.0
Damage Class: Physical
Effect: One-Hit-KO, if it hits.
Prob. (%): nan
"
Horn Leech,"Power: 75.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: User recovers half the HP inflicted on opponent.
Prob. (%): nan
"
Howl,"Power: nan
Acc.: nan
PP: 40.0
Damage Class: Status
Effect: Raises Attack of allies.
Prob. (%): nan
"
Hurricane,"Power: 110.0
Acc.: 70
PP: 10.0
Damage Class: Special
Effect: May confuse opponent.
Prob. (%): 30.0
"
Hydro Cannon,"Power: 150.0
Acc.: 90
PP: 5.0
Damage Class: Special
Effect: User must recharge next turn.
Prob. (%): nan
"
Hydro Pump,"Power: 110.0
Acc.: 80
PP: 5.0
Damage Class: Special
Effect: nan
Prob. (%): nan
"
Hyper Beam,"Power: 150.0
Acc.: 90
PP: 5.0
Damage Class: Special
Effect: User must recharge next turn.
Prob. (%): nan
"
Hyper Fang,"Power: 80.0
Acc.: 90
PP: 15.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 10.0
"
Hyper Voice,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: nan
Prob. (%): nan
"
Hyperspace Fury,"Power: 100.0
Acc.: ∞
PP: 5.0
Damage Class: Physical
Effect: Lowers user's Defense. Can strike through Protect/Detect.
Prob. (%): 100.0
"
Hyperspace Hole,"Power: 80.0
Acc.: ∞
PP: 5.0
Damage Class: Special
Effect: Can strike through Protect/Detect.
Prob. (%): nan
"
Hypnosis,"Power: nan
Acc.: 60
PP: 20.0
Damage Class: Status
Effect: Puts opponent to sleep.
Prob. (%): nan
"
Ice Ball,"Power: 30.0
Acc.: 90
PP: 20.0
Damage Class: Physical
Effect: Doubles in power each turn for 5 turns.
Prob. (%): nan
"
Ice Beam,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: May freeze opponent.
Prob. (%): 10.0
"
Ice Burn,"Power: 140.0
Acc.: 90
PP: 5.0
Damage Class: Special
Effect: Charges on first turn, attacks on second. May burn opponent.
Prob. (%): 30.0
"
Ice Fang,"Power: 65.0
Acc.: 95
PP: 15.0
Damage Class: Physical
Effect: May cause flinching and/or freeze opponent.
Prob. (%): 10.0
"
Ice Hammer,"Power: 100.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.
Prob. (%): 100.0
"
Ice Punch,"Power: 75.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: May freeze opponent.
Prob. (%): 10.0
"
Ice Shard,"Power: 40.0
Acc.: 100
PP: 30.0
Damage Class: Physical
Effect: User attacks first.
Prob. (%): nan
"
Icicle Crash,"Power: 85.0
Acc.: 90
PP: 10.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 30.0
"
Icicle Spear,"Power: 25.0
Acc.: 100
PP: 30.0
Damage Class: Physical
Effect: Hits 2-5 times in one turn.
Prob. (%): nan
"
Icy Wind,"Power: 55.0
Acc.: 95
PP: 15.0
Damage Class: Special
Effect: Lowers opponent's Speed.
Prob. (%): 100.0
"
Imprison,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Opponent is unable to use moves that the user also knows.
Prob. (%): nan
"
Incinerate,"Power: 60.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: Destroys the target's held berry.
Prob. (%): nan
"
Inferno,"Power: 100.0
Acc.: 50
PP: 5.0
Damage Class: Special
Effect: Burns opponent.
Prob. (%): 100.0
"
Infestation,"Power: 20.0
Acc.: 100
PP: 20.0
Damage Class: Special
Effect: Traps opponent, damaging them for 4-5 turns.
Prob. (%): 100.0
"
Ingrain,"Power: nan
Acc.: nan
PP: 20.0
Damage Class: Status
Effect: User restores HP each turn. User cannot escape/switch.
Prob. (%): nan
"
Instruct,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Allows an ally to use a move instead.
Prob. (%): nan
"
Ion Deluge,"Power: nan
Acc.: nan
PP: 25.0
Damage Class: Status
Effect: Changes Normal-type moves to Electric-type.
Prob. (%): nan
"
Iron Defense,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Sharply raises user's Defense.
Prob. (%): nan
"
Iron Head,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: May cause flinching.
Prob. (%): 30.0
"
Iron Tail,"Power: 100.0
Acc.: 75
PP: 15.0
Damage Class: Physical
Effect: May lower opponent's Defense.
Prob. (%): 30.0
"
Jaw Lock,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: Prevents user and opponent from switching out.
Prob. (%): nan
"
Judgment,"Power: 100.0
Acc.: 100
PP: 10.0
Damage Class: Special
Effect: Type depends on the Arceus Plate being held.
Prob. (%): nan
"
Jump Kick,"Power: 100.0
Acc.: 95
PP: 10.0
Damage Class: Physical
Effect: If it misses, the user loses half their HP.
Prob. (%): nan
"
Jungle Healing,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Restores team's HP and cures status conditions.
Prob. (%): nan
"
Karate Chop,"Power: 50.0
Acc.: 100
PP: 25.0
Damage Class: Physical
Effect: High critical hit ratio.
Prob. (%): nan
"
Kinesis,"Power: nan
Acc.: 80
PP: 15.0
Damage Class: Status
Effect: Lowers opponent's Accuracy.
Prob. (%): nan
"
King'S Shield,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Protects the user and lowers opponent's Attack on contact.
Prob. (%): nan
"
Knock Off,"Power: 65.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Removes opponent's held item for the rest of the battle.
Prob. (%): nan
"
Land'S Wrath,"Power: 90.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: nan
Prob. (%): nan
"
Laser Focus,"Power: nan
Acc.: nan
PP: 30.0
Damage Class: Status
Effect: User's next attack is guaranteed to result in a critical hit.
Prob. (%): nan
"
Lash Out,"Power: 75.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Double power if stats were lowered during the turn.
Prob. (%): nan
"
Last Resort,"Power: 140.0
Acc.: 100
PP: 5.0
Damage Class: Physical
Effect: Can only be used after all other moves are used.
Prob. (%): nan
"
Lava Plume,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Special
Effect: May burn opponent.
Prob. (%): 30.0
"
Leaf Blade,"Power: 90.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: High critical hit ratio.
Prob. (%): nan
"
Leaf Storm,"Power: 130.0
Acc.: 90
PP: 5.0
Damage Class: Special
Effect: Sharply lowers user's Special Attack.
Prob. (%): 100.0
"
Leaf Tornado,"Power: 65.0
Acc.: 90
PP: 10.0
Damage Class: Special
Effect: May lower opponent's Accuracy.
Prob. (%): 50.0
"
Leafage,"Power: 40.0
Acc.: 100
PP: 40.0
Damage Class: Physical
Effect: Strikes opponent with leaves.
Prob. (%): nan
"
Leech Life,"Power: 80.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: User recovers half the HP inflicted on opponent.
Prob. (%): nan
"
Leech Seed,"Power: nan
Acc.: 90
PP: 10.0
Damage Class: Status
Effect: Drains HP from opponent each turn.
Prob. (%): nan
"
Leer,"Power: nan
Acc.: 100
PP: 30.0
Damage Class: Status
Effect: Lowers opponent's Defense.
Prob. (%): 100.0
"
Lick,"Power: 30.0
Acc.: 100
PP: 30.0
Damage Class: Physical
Effect: May paralyze opponent.
Prob. (%): 30.0
"
Life Dew,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: User and teammates recover HP.
Prob. (%): nan
"
Light Of Ruin,"Power: 140.0
Acc.: 90
PP: 5.0
Damage Class: Special
Effect: User receives recoil damage.
Prob. (%): nan
"
Light Screen,"Power: nan
Acc.: nan
PP: 30.0
Damage Class: Status
Effect: Halves damage from Special attacks for 5 turns.
Prob. (%): nan
"
Light That Burns The Sky,"Power: 200.0
Acc.: nan
PP: 1.0
Damage Class: Special
Effect: Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.
Prob. (%): nan
"
Liquidation,"Power: 85.0
Acc.: 100
PP: 10.0
Damage Class: Physical
Effect: May lower opponent's Defense.
Prob. (%): 20.0
"
Lock On,"Power: nan
Acc.: nan
PP: 5.0
Damage Class: Status
Effect: User's next attack is guaranteed to hit.
Prob. (%): nan
"
Lovely Kiss,"Power: nan
Acc.: 75
PP: 10.0
Damage Class: Status
Effect: Puts opponent to sleep.
Prob. (%): nan
"
Low Kick,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: The heavier the opponent, the stronger the attack.
Prob. (%): nan
"
Low Sweep,"Power: 65.0
Acc.: 100
PP: 20.0
Damage Class: Physical
Effect: Lowers opponent's Speed.
Prob. (%): 100.0
"
Lucky Chant,"Power: nan
Acc.: nan
PP: 30.0
Damage Class: Status
Effect: Opponent cannot land critical hits for 5 turns.
Prob. (%): nan
"
Lunar Dance,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: The user faints but the next Pokémon released is fully healed.
Prob. (%): nan
"
Lunge,"Power: 80.0
Acc.: 100
PP: 15.0
Damage Class: Physical
Effect: The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.
Prob. (%): 100.0
"
Luster Purge,"Power: 70.0
Acc.: 100
PP: 5.0
Damage Class: Special
Effect: May lower opponent's Special Defense.
Prob. (%): 50.0
"
Mach Punch,"Power: 40.0
Acc.: 100
PP: 30.0
Damage Class: Physical
Effect: User attacks first.
Prob. (%): nan
"
Magic Coat,"Power: nan
Acc.: nan
PP: 15.0
Damage Class: Status
Effect: Reflects moves that cause status conditions back to the attacker.
Prob. (%): nan
"
Magic Powder,"Power: nan
Acc.: 100
PP: 20.0
Damage Class: Status
Effect: Changes target's type to Psychic.
Prob. (%): nan
"
Magic Room,"Power: nan
Acc.: nan
PP: 10.0
Damage Class: Status
Effect: Suppresses the effects of held items for five turns.
Prob. (%): nan
"
