pokemonName,abilityName
Flapple Gigantamax,Razor Leaf
Appletun,Seed Flare
Appletun Gigantamax,Horn Leech
Silicobra,Magnitude
Sandaconda Gigantamax,Shore Up
Sandaconda,Fissure
Cramorant,Roost
Arrokuda,Withdraw
Barraskewda,G-Max Cannonade
Toxel,Thunder Wave
Toxtricity Amped Form,Thunder Cage
Toxtricity Low Key Form,Aura Wheel
Sizzlipede,Fire Blast
Centiskorch Gigantamax,Searing Shot
Centiskorch,Flamethrower
Clobbopus,Octolock
Grapploct,Secret Sword
Sinistea,Poltergeist
Polteageist,Shadow Sneak
Hatenna,Freezing Glare
Hattrem,Psycho Cut
Hatterene,Light That Burns The Sky
Hatterene Gigantamax,Psyshock
Impidimp,Night Daze
Morgrem,Jaw Lock
Grimmsnarl Gigantamax,Malicious Moonsault
Grimmsnarl,Flatter
Obstagoon,Assurance
Perrserker,Meteor Mash
Cursola,Lick
Sirfetch'd,Rock Smash
Mr. Rime,Ice Ball
Runerigus,Earthquake
Milcery,Baby Doll Eyes
Alcremie,Fairy Lock
Alcremie Gigantamax,Nature'S Madness
Falinks,Sacred Sword
Pincurchin,Ion Deluge
Snom,Ice Burn
Frosmoth,Freeze Dry
Stonjourner,Rock Blast
Eiscue Noice Face,Ice Ball
Eiscue Ice Face,Powder Snow
Indeedee Female,Zen Headbutt
Indeedee Male,Meditate
Morpeko Hangry Mode,Fusion Bolt
Morpeko Full Belly Mode,Thunder Fang
Cufant,Heavy Slam
Copperajah Gigantamax,Heavy Slam
Copperajah,Metal Claw
Dracozolt,Stoked Sparksurfer
Arctozolt,Volt Tackle
Dracovish,Sparkling Aria
Arctovish,Surging Strikes
Duraludon,Iron Tail
Duraludon Gigantamax,Max Steelspike
Dreepy,Scale Shot
Drakloak,Dragon Dance
Dragapult,Dragon Energy
Zacian Hero of Many Battles,Play Rough
Zacian Crowned Sword,Misty Terrain
Zamazenta Crowned Shield,Rolling Kick
Zamazenta Hero of Many Battles,Octolock
Eternatus Eternamax,Acid
Eternatus,Clear Smog
Kubfu,Meteor Assault
Urshifu (Single Strike) Gigantamax,Body Press
Urshifu (Rapid Strike) Gigantamax,Max Knuckle
Urshifu Single Strike Style,Vital Throw
Urshifu Rapid Strike Style,Drain Punch
Zarude,Brutal Swing
Regieleki,Eerie Impulse
Regidrago,G-Max Depletion
Glastrier,Glaciate
Spectrier,Phantom Force
Calyrex,Barrier
Calyrex Shadow Rider,Instruct
Calyrex Ice Rider,Telekinesis
Bulbasaur,Synthesis
Ivysaur,Sappy Seed
Venusaur,Leaf Tornado
Mega Venusaur,Apple Acid
Venusaur Gigantamax,Trop Kick
Charmander,G-Max Fireball
Charmeleon,Fire Spin
Mega Charizard Y,Fire Spin
Charizard Gigantamax,G-Max Fireball
Mega Charizard X,G-Max Wildfire
Charizard,Shell Trap
Squirtle,Clamp
Wartortle,G-Max Stonesurge
Blastoise Gigantamax,Sparkling Aria
Blastoise,Aqua Tail
Mega Blastoise,Surf
Caterpie,Megahorn
Metapod,U Turn
Butterfree Gigantamax,Sticky Web
Butterfree,G-Max Befuddle
Weedle,X Scissor
Kakuna,Pollen Puff
Beedrill,Quiver Dance
Mega Beedrill,Spider Web
Pidgey,Comet Punch
Pidgeotto,Camouflage
Pidgeot,Quick Attack
Mega Pidgeot,Metronome
Rattata,Veevee Volley
Alolan Rattata,Foul Play
Raticate,Fury Swipes
Alolan Raticate,Throat Chop
Spearow,Tail Whip
Fearow,G-Max Cuddle
Ekans,Cross Poison
Arbok,G-Max Malodor
Pikachu Gigantamax,Rising Voltage
Pikachu,Bolt Strike
Partner Pikachu,Discharge
Alolan Raichu,Catastropika
Raichu,Ion Deluge
Alolan Sandshrew,Triple Axel
Sandshrew,Mud Sport
Sandslash,Magnitude
Alolan Sandslash,Blizzard
Nidoran♀,Coil
Nidorina,Baneful Bunker
Nidoqueen,Acid Armor
Nidoran♂,Acid Spray
Nidorino,Max Ooze
Nidoking,Gunk Shot
Clefairy,Misty Terrain
Clefable,Moonblast
Vulpix,Will O Wisp
Alolan Vulpix,Freeze Dry
Ninetales,Fire Blast
Alolan Ninetales,Haze
Jigglypuff,Transform
Wigglytuff,Tearful Look
Zubat,Poison Tail
Golbat,Poison Tail
Oddish,Branch Poke
Gloom,Aromatherapy
Vileplume,Sleep Powder
Paras,Pin Missile
Parasect,Pin Missile
Venonat,Spider Web
Venomoth,Quiver Dance
Alolan Diglett,Magnitude
Diglett,Bone Club
Alolan Dugtrio,Bonemerang
Dugtrio,Fissure
Meowth,Entrainment
Alolan Meowth,Lash Out
Galarian Meowth,Metal Burst
Meowth Gigantamax,Extreme Evoboost
Persian,Conversion 2
Alolan Persian,Darkest Lariat
Psyduck,Splishy Splash
Golduck,Water Gun
Mankey,Close Combat
Primeape,Double Kick
Hisuian Growlithe,Magma Storm
Growlithe,Heat Wave
Hisuian Arcanine,V Create
Arcanine,Fire Lash
Poliwag,Muddy Water
Poliwhirl,Hydro Pump
Poliwrath,Max Geyser
Abra,Power Split
Kadabra,Amnesia
Alakazam,Guard Split
Mega Alakazam,Skill Swap
Machop,Rolling Kick
Machoke,Aura Sphere
Machamp Gigantamax,Revenge
Machamp,Flying Press
Bellsprout,Synthesis
Weepinbell,Grav Apple
Victreebel,Spore
Tentacool,Rain Dance
Tentacruel,Water Spout
Geodude,Stone Edge
Alolan Geodude,Stealth Rock
Graveler,Sandstorm
Alolan Graveler,Wide Guard
Golem,Rock Slide
Alolan Golem,Rollout
Ponyta,Flare Blitz
Galarian Ponyta,Instruct
Rapidash,G-Max Wildfire
Galarian Rapidash,Agility
Galarian Slowpoke,Telekinesis
Slowpoke,Liquidation
Mega Slowbro,Bubble
Galarian Slowbro,Poison Sting
Slowbro,Steam Eruption
Magnemite,Charge Beam
Magneton,Charge
Farfetch'd,Odor Sleuth
Galarian Farfetch'd,Wake Up Slap
Doduo,Minimize
Dodrio,Stockpile
Seel,Razor Shell
Dewgong,Whirlpool
Grimer,Sludge Bomb
Alolan Grimer,Poison Tail
Alolan Muk,Corrosive Gas
Muk,Clear Smog
Shellder,Clamp
Cloyster,Aqua Ring
Gastly,Shadow Bone
Haunter,Grudge
Gengar,Poltergeist
Gengar Gigantamax,Trick Or Treat
Mega Gengar,Soul Stealing 7 Star Strike
Onix,Splintered Stormshards
Drowzee,Light Screen
Hypno,Synchronoise
Krabby,Brine
Kingler Gigantamax,Withdraw
Kingler,Clamp
Hisuian Voltorb,Aura Wheel
Voltorb,Bolt Strike
Hisuian Electrode,Magnet Rise
Electrode,Discharge
Exeggcute,Giga Drain
Alolan Exeggutor,Cotton Spore
Exeggutor,Razor Leaf
Cubone,Spikes
Alolan Marowak,Blue Flare
Marowak,Mud Slap
Hitmonlee,Quick Guard
Hitmonchan,Flying Press
Lickitung,Heal Bell
Koffing,Toxic Thread
Weezing,Toxic
Galarian Weezing,Max Ooze
Rhyhorn,Earthquake
Rhydon,Sand Tomb
Chansey,Super Fang
Tangela,Seed Flare
Kangaskhan,Take Down
Mega Kangaskhan,Swagger
Horsea,Bubble Beam
Seadra,Crabhammer
Goldeen,Soak
Seaking,Liquidation
Staryu,Splishy Splash
Starmie,G-Max Stonesurge
Mime Galarian Mr. Mime,Avalanche
Mr. Mime,Eerie Spell
Scyther,Struggle Bug
Jynx,Hail
Electabuzz,Pika Papow
Magmar,Ember
Mega Pinsir,Sticky Web
Pinsir,U Turn
Tauros,Metronome
Magikarp,Oceanic Operetta
Mega Gyarados,Origin Pulse
Gyarados,Max Geyser
Lapras Gigantamax,Life Dew
Lapras,Snipe Shot
Ditto,Dizzy Punch
Partner Eevee,Rapid Spin
Eevee Gigantamax,Baton Pass
Eevee,Razor Wind
Vaporeon,Flip Turn
Jolteon,Zippy Zap
Flareon,Burn Up
Porygon,Horn Drill
Omanyte,Rock Tomb
Omastar,Stone Edge
Kabuto,Max Rockfall
Kabutops,Rollout
Aerodactyl,Stone Edge
Mega Aerodactyl,Diamond Storm
Snorlax Gigantamax,Smelling Salts
Snorlax,Rock Climb
Galarian Articuno,Psyshock
Articuno,Triple Axel
Galarian Zapdos,Focus Blast
Zapdos,Thunder
Galarian Moltres,Brutal Swing
Moltres,Fire Spin
Dratini,Clanging Scales
Dragonair,Dragon Rage
Dragonite,Scale Shot
Mega Mewtwo Y,Psystrike
Mega Mewtwo X,Genesis Supernova
Mewtwo,Healing Wish
Mew,Cosmic Power
Chikorita,G-Max Sweetness
Bayleef,Petal Blizzard
Meganium,Leafage
Cyndaquil,Heat Wave
Quilava,Fusion Flare
Hisuian Typhlosion,Blue Flare
Typhlosion,Lava Plume
Totodile,Max Geyser
Croconaw,Rain Dance
Feraligatr,Aqua Ring
Sentret,Egg Bomb
Furret,Crush Grip
Hoothoot,Uproar
Noctowl,Splash
Ledyba,Pollen Puff
Ledian,Tail Glow
Spinarak,First Impression
Ariados,Defend Order
Crobat,Poison Sting
Chinchou,Water Sport
Lanturn,Steam Eruption
Pichu,G-Max Stun Shock
Cleffa,Moonblast
Igglybuff,Milk Drink
Togepi,G-Max Smite
Togetic,Dazzling Gleam
Natu,Psychic Fangs
Xatu,Speed Swap
Mareep,Electroweb
Flaaffy,Nuzzle
Ampharos,Electrify
Mega Ampharos,Electro Ball
Bellossom,Jungle Healing
Marill,Splishy Splash
Azumarill,Water Sport
Sudowoodo,Rock Wrecker
Politoed,Water Shuriken
Hoppip,Leaf Tornado
Skiploom,Grass Knot
Jumpluff,G-Max Vine Lash
Aipom,Howl
Sunkern,Energy Ball
Sunflora,Energy Ball
Yanma,Pin Missile
Wooper,Scald
Quagsire,Oceanic Operetta
Espeon,Psychic
Umbreon,Payback
Murkrow,Darkest Lariat
Slowking,Water Gun
Galarian Slowking,Acid Armor
Misdreavus,Soul Stealing 7 Star Strike
Unown,Heal Pulse
Wobbuffet,Mirror Coat
Girafarig,Encore
Pineco,Signal Beam
Forretress,Sticky Web
Dunsparce,Attract
Gligar,Max Quake
Steelix,Bullet Punch
Mega Steelix,Mirror Shot
Snubbull,Disarming Voice
Granbull,Crafty Shield
Hisuian Qwilfish,Pursuit
Qwilfish,Hydro Pump
Mega Scizor,String Shot
Scizor,Leech Life
Shuckle,Skitter Smack
Heracross,Leech Life
Mega Heracross,U Turn
Hisuian Sneasel,Poison Sting
Sneasel,Memento
Teddiursa,Round
Ursaring,Tickle
Slugma,Flamethrower
Magcargo,Fire Blast
Swinub,Ice Burn
Piloswine,Icy Wind
Corsola,Water Shuriken
Galarian Corsola,Astonish
Remoraid,Snipe Shot
Octillery,Dive
Delibird,Ice Shard
Mantine,Razor Shell
Skarmory,Gyro Ball
Houndour,Parting Shot
Houndoom,Switcheroo
Mega Houndoom,Bite
Kingdra,Hydro Cannon
Phanpy,Mud Shot
Donphan,High Horsepower
Porygon2,Recover
Stantler,Sweet Scent
Smeargle,Explosion
Tyrogue,Karate Chop
Hitmontop,Counter
Smoochum,Ice Hammer
Elekid,Magnet Rise
Magby,Mind Blown
Miltank,Rage
Blissey,Helping Hand
Raikou,Spark
Entei,Fire Blast
Suicune,G-Max Foam Burst
Larvitar,Max Rockfall
Pupitar,Tar Shot
Mega Tyranitar,Rock Slide
Tyranitar,Accelerock
Lugia,Dream Eater
Ho-oh,Fire Punch
Celebi,Kinesis
Treecko,Energy Ball
Grovyle,Forest'S Curse
Mega Sceptile,G-Max Tartness
Sceptile,Razor Leaf
Torchic,Burning Jealousy
Combusken,Fire Punch
Blaziken,Searing Shot
Mega Blaziken,G-Max Fireball
Mudkip,Snipe Shot
Marshtomp,Crabhammer
Mega Swampert,Water Shuriken
Swampert,Bubble
Poochyena,Darkest Lariat
Mightyena,Max Darkness
Zigzagoon,Rock Climb
Galarian Zigzagoon,Wicked Blow
Linoone,Swords Dance
Galarian Linoone,Knock Off
Wurmple,Tail Glow
Silcoon,Lunge
Beautifly,Megahorn
Cascoon,Powder
Dustox,U Turn
Lotad,Whirlpool
Lombre,Scald
Ludicolo,Liquidation
Seedot,Jungle Healing
Nuzleaf,Worry Seed
Shiftry,Razor Leaf
Taillow,Court Change
Swellow,Terrain Pulse
Wingull,Water Sport
Pelipper,Flip Turn
Ralts,Psychic Terrain
Kirlia,Healing Wish
Gardevoir,Glitzy Glow
Mega Gardevoir,Magic Coat
Surskit,Quiver Dance
Masquerain,Max Flutterby
Shroomish,Magical Leaf
Breloom,Giga Drain
Slakoth,False Swipe
Vigoroth,Hold Hands
Slaking,Work Up
Nincada,Spider Web
Ninjask,X Scissor
Shedinja,String Shot
Whismur,Stomp
Loudred,Spike Cannon
Exploud,Sonic Boom
Makuhita,Focus Blast
Hariyama,Dynamic Punch
Azurill,Pay Day
Nosepass,Tar Shot
Skitty,Extreme Speed
Delcatty,Lock On
Mega Sableye,Payback
Sableye,Assurance
Mawile,Bullet Punch
Mega Mawile,Smart Strike
Aron,Iron Head
Lairon,Meteor Mash
Aggron,Shift Gear
Mega Aggron,Smart Strike
Meditite,Rock Smash
Medicham,Rolling Kick
Mega Medicham,Detect
Electrike,Ion Deluge
Manectric,Thunder Wave
Mega Manectric,Max Lightning
Plusle,Magnet Rise
Minun,Zippy Zap
Volbeat,Lunge
Illumise,String Shot
Roselia,Sleep Powder
Gulpin,Poison Jab
Swalot,Poison Tail
Carvanha,Octazooka
Mega Sharpedo,G-Max Rapid Flow
Sharpedo,Brine
Wailmer,G-Max Hydrosnipe
Wailord,Aqua Jet
Numel,Searing Shot
Camerupt,Ember
Mega Camerupt,Sacred Fire
Torkoal,Flame Burst
Spoink,Heal Block
Grumpig,G-Max Gravitas
Spinda,Spotlight
Trapinch,Bonemerang
Vibrava,Mud Sport
Flygon,Spikes
Cacnea,Grassy Terrain
Cacturne,Solar Blade
Swablu,Razor Wind
Altaria,Clanging Scales
Mega Altaria,Core Enforcer
Zangoose,Fury Swipes
Seviper,Smog
Lunatone,Rock Wrecker
Solrock,Max Rockfall
Barboach,Whirlpool
Whiscash,Sparkling Aria
Corphish,Fishious Rend
Crawdaunt,Snipe Shot
Baltoy,Bonemerang
Claydol,Land'S Wrath
Lileep,Meteor Beam
Cradily,Ancient Power
Anorith,Max Rockfall
Armaldo,Rock Polish
Feebas,Soak
Milotic,G-Max Cannonade
Castform,Max Guard
Castform Sunny Form,Burn Up
Castform Rainy Form,Aqua Jet
Castform Snowy Form,Powder Snow
Kecleon,Vise Grip
Shuppet,Trick Or Treat
Mega Banette,Shadow Punch
Banette,Night Shade
Duskull,Soul Stealing 7 Star Strike
Dusclops,Poltergeist
Tropius,Snap Trap
Chimecho,Cosmic Power
Absol,G-Max One Blow
Mega Absol,Brutal Swing
Wynaut,Stored Power
Snorunt,Powder Snow
Mega Glalie,Icy Wind
Glalie,Ice Ball
Spheal,Triple Axel
Sealeo,G-Max Resonance
Walrein,Icicle Crash
Clamperl,Origin Pulse
Huntail,Hydro Cannon
Gorebyss,Fishious Rend
Relicanth,Clamp
Luvdisc,G-Max Rapid Flow
Bagon,Dragon Dance
Shelgon,Max Wyrmwind
Mega Salamence,Dragon Breath
Salamence,Eternabeam
Beldum,Meteor Mash
Metang,Mirror Shot
Mega Metagross,Mirror Shot
Metagross,Metal Sound
Regirock,Rock Polish
Regice,Blizzard
Registeel,Steel Roller
Mega Latias,Dual Chop
Latias,Roar Of Time
Latios,Draco Meteor
Mega Latios,Scale Shot
Primal Kyogre,Waterfall
Kyogre,G-Max Hydrosnipe
Primal Groudon,Fissure
Groudon,G-Max Sandblast
Mega Rayquaza,Dragon Tail
Rayquaza,Clangorous Soulblaze
Jirachi,Metal Burst
Deoxys Defense Forme,Glitzy Glow
Deoxys Attack Forme,Psycho Boost
Deoxys Normal Forme,Psychic Fangs
Deoxys Speed Forme,Agility
Turtwig,Trop Kick
Grotle,Leech Seed
Torterra,Vine Whip
Chimchar,Sizzly Slide
Monferno,Sunny Day
Infernape,Pyro Ball
Piplup,G-Max Stonesurge
Prinplup,Liquidation
Empoleon,Aqua Jet
Starly,G-Max Gold Rush
Staravia,Veevee Volley
Staraptor,Disable
Bidoof,Rage
Bibarel,Vise Grip
Kricketot,Tail Glow
Kricketune,Bug Buzz
Shinx,Pika Papow
Luxio,Thunder Cage
Luxray,Volt Tackle
Budew,Seed Bomb
Roserade,Cotton Spore
Cranidos,Rock Slide
Rampardos,Rock Wrecker
Shieldon,Head Smash
Bastiodon,Rollout
Burmy Plant Cloak,Sticky Web
Burmy Sandy Cloak,Infestation
Burmy Trash Cloak,Lunge
Wormadam Plant Cloak,Fell Stinger
Wormadam Sandy Cloak,X Scissor
Wormadam Trash Cloak,String Shot
Mothim,G-Max Befuddle
Combee,Rage Powder
Vespiquen,Leech Life
Pachirisu,Electro Ball
Buizel,Muddy Water
Floatzel,Water Gun
Cherubi,Horn Leech
Cherrim,Sleep Powder
Shellos,Life Dew
Gastrodon,G-Max Rapid Flow
Ambipom,Baton Pass
Drifloon,Astonish
Drifblim,Night Shade
Buneary,Pain Split
Mega Lopunny,Sing
Lopunny,Present
Mismagius,Menacing Moonraze Maelstrom
Honchkrow,Taunt
Glameow,Copycat
Purugly,Judgment
Chingling,Hypnosis
Stunky,Poison Tail
Skuntank,Max Ooze
Bronzor,Metal Burst
Bronzong,G-Max Meltdown
Bonsly,Splintered Stormshards
Mime Jr.,Power Swap
Happiny,Body Slam
Chatot,Odor Sleuth
Spiritomb,Destiny Bond
Gible,Twister
Gabite,Twister
Garchomp,Dragon Claw
Mega Garchomp,Eternabeam
Munchlax,Fury Attack
Riolu,Double Kick
Mega Lucario,Arm Thrust
Lucario,Superpower
Hippopotas,Rototiller
Hippowdon,High Horsepower
Skorupi,G-Max Malodor
Drapion,Purify
Croagunk,Corrosive Gas
Toxicroak,Belch
Carnivine,Forest'S Curse
Finneon,Hydro Pump
Lumineon,Dive
Mantyke,Max Geyser
Snover,Wood Hammer
Abomasnow,Leech Seed
Mega Abomasnow,Snap Trap
Weavile,Max Darkness
Magnezone,Plasma Fists
Lickilicky,Howl
Rhyperior,Bone Club
Tangrowth,Leaf Blade
Electivire,Thunder Fang
Magmortar,Max Flare
Togekiss,Misty Terrain
Yanmega,Bug Buzz
Leafeon,Needle Arm
Glaceon,Aurora Veil
Gliscor,Thousand Waves
Mamoswine,Ice Beam
Porygon-Z,Stuff Cheeks
Gallade,G-Max Gravitas
Mega Gallade,Confusion
Probopass,Rollout
Dusknoir,Menacing Moonraze Maelstrom
Froslass,Glacial Lance
Fan Rotom,Catastropika
Frost Rotom,Eerie Impulse
Wash Rotom,Plasma Fists
Heat Rotom,Thunderbolt
Rotom,Parabolic Charge
Mow Rotom,G-Max Stun Shock
Uxie,Hypnosis
Mesprit,Light Screen
Azelf,Prismatic Laser
Dialga,Behemoth Bash
Dialga Origin Forme,Iron Head
Palkia Origin Forme,G-Max Stonesurge
Palkia,Withdraw
Heatran,Pyro Ball
Regigigas,Teatime
Giratina Origin Forme,Night Shade
Giratina Altered Forme,Astral Barrage
Cresselia,Kinesis
Phione,Withdraw
Manaphy,Soak
Darkrai,Darkest Lariat
Shaymin Land Forme,Horn Leech
Shaymin Sky Forme,Seed Flare
Arceus,Whirlwind
Victini,Mirror Coat
Snivy,Frenzy Plant
Servine,Cotton Spore
Serperior,Aromatherapy
Tepig,Mind Blown
Pignite,Sacred Fire
Emboar,Ember
Oshawott,Aqua Ring
Dewott,Muddy Water
Samurott,Splishy Splash
Hisuian Samurott,Water Pledge
Patrat,Vise Grip
Watchog,Psych Up
Lillipup,Psych Up
Herdier,Fury Swipes
Stoutland,Horn Drill
Purrloin,Wicked Blow
Liepard,False Surrender
Pansage,Leech Seed
Simisage,Spiky Shield
Pansear,Fire Spin
Simisear,Mind Blown
Panpour,Bubble Beam
Simipour,Dive
Munna,Trick Room
Musharna,Max Mindstorm
Pidove,Veevee Volley
Tranquill,Quick Attack
Unfezant,Relic Song
Blitzle,Plasma Fists
Zebstrika,Ion Deluge
Roggenrola,Stone Edge
Boldore,Rock Wrecker
Gigalith,Diamond Storm
Woobat,Guard Swap
Swoobat,Power Swap
Drilbur,Mud Sport
Excadrill,Stomping Tantrum
Mega Audino,Camouflage
Audino,Spit Up
Timburr,Force Palm
Gurdurr,Brick Break
Conkeldurr,Hammer Arm
Tympole,G-Max Stonesurge
Palpitoad,Clamp
Seismitoad,Withdraw
Throh,Mat Block
Sawk,Cross Chop
Sewaddle,Signal Beam
Swadloon,Twineedle
Leavanny,Pollen Puff
Venipede,Sticky Web
Whirlipede,Spider Web
Scolipede,Steamroller
Cottonee,Absorb
Whimsicott,Grass Knot
Petilil,Mega Drain
Hisuian Lilligant,Apple Acid
Lilligant,Leaf Storm
Basculin White-Striped Form,Rain Dance
Basculin Blue-Striped Form,Flip Turn
Basculin Red-Striped Form,Razor Shell
Sandile,Stomping Tantrum
Krokorok,Earth Power
Krookodile,Drill Run
Galarian Darumaka,Freezy Frost
Darumaka,Burning Jealousy
Darmanitan Standard Mode,Fire Lash
Darmanitan Galarian Zen Mode,Ice Punch
Darmanitan Galarian Standard Mode,Powder Snow
Darmanitan Zen Mode,Incinerate
Maractus,Razor Leaf
Dwebble,Powder
Crustle,First Impression
Scraggy,Max Darkness
Scrafty,Obstruct
Sigilyph,Power Swap
Galarian Yamask,Precipice Blades
Yamask,Poltergeist
Cofagrigus,Trick Or Treat
Tirtouga,Liquidation
Carracosta,Splishy Splash
Archen,Power Gem
Archeops,Max Rockfall
Trubbish,Acid Spray
Garbodor Gigantamax,Poison Sting
Garbodor,Belch
Zorua,Brutal Swing
Hisuian Zorua,Defense Curl
Zoroark,Jaw Lock
Hisuian Zoroark,Double Edge
Minccino,Giga Impact
Cinccino,Mind Reader
Gothita,Telekinesis
Gothorita,Dream Eater
Gothitelle,Gravity
Solosis,Cosmic Power
Duosion,Role Play
Reuniclus,Power Swap
Ducklett,Sparkling Aria
Swanna,Octazooka
Vanillite,Glaciate
Vanillish,Ice Beam
Vanilluxe,Powder Snow
Deerling,Minimize
Sawsbuck,Belly Drum
Emolga,Thunder
Karrablast,Max Flutterby
Escavalier,Defend Order
Foongus,Grass Knot
Amoonguss,Energy Ball
Frillish,Water Shuriken
Jellicent,Surging Strikes
Alomomola,Muddy Water
Joltik,Lunge
Galvantula,Rage Powder
Ferroseed,Branch Poke
Ferrothorn,Sleep Powder
Klink,Flash Cannon
Klang,Anchor Shot
Klinklang,Double Iron Bash
Tynamo,Plasma Fists
Eelektrik,Thunder Wave
Eelektross,Thunder Cage
Elgyem,Zen Headbutt
Beheeyem,Miracle Eye
Litwick,Trick Or Treat
Lampent,Shadow Claw
Chandelure,Lick
Axew,Eternabeam
Fraxure,Draco Meteor
Haxorus,Dragon Pulse
Cubchoo,Ice Shard
Beartic,Ice Punch
Cryogonal,Icicle Crash
Shelmet,Spider Web
Accelgor,Attack Order
Stunfisk,Thousand Waves
Galarian Stunfisk,Mud Bomb
Mienfoo,Thunderous Kick
Mienshao,Superpower
Druddigon,Dragon Rush
Golett,Bone Club
Golurk,G-Max Sandblast
Pawniard,Fake Tears
Bisharp,Night Daze
Bouffalant,Spotlight
Rufflet,Terrain Pulse
Hisuian Braviary,Prismatic Laser
Braviary,Hyper Voice
Vullaby,Feint Attack
Mandibuzz,Nasty Plot
Heatmor,Heat Wave
Durant,Rage Powder
Deino,Snarl
Zweilous,Wicked Blow
Hydreigon,Punishment
Larvesta,Twineedle
Volcarona,Megahorn
Cobalion,Metal Claw
Terrakion,Ancient Power
Virizion,Leaf Tornado
Tornadus Incarnate Forme,Brave Bird
Tornadus Therian Forme,Max Airstream
Thundurus Therian Forme,Thunder Punch
Thundurus Incarnate Forme,Overdrive
Reshiram,Roar Of Time
Zekrom,Core Enforcer
Landorus Incarnate Forme,Mud Slap
Landorus Therian Forme,Magnitude
Kyurem,Clanging Scales
Black Kyurem,Twister
White Kyurem,Clangorous Soulblaze
Keldeo Resolute Form,Water Sport
Keldeo Ordinary Form,Dive
Meloetta Pirouette Forme,Confide
Meloetta Aria Forme,Mega Punch
Genesect,Heal Order
Chespin,Leaf Tornado
Quilladin,Grav Apple
Chesnaught,Sappy Seed
Fennekin,Inferno
Braixen,Mystical Fire
Delphox,Blue Flare
Froakie,Origin Pulse
Frogadier,Dive
Greninja,Water Gun
Ash-Greninja,Origin Pulse
Bunnelby,Egg Bomb
Diggersby,Metronome
Fletchling,Growth
Fletchinder,G-Max Centiferno
Talonflame,Sizzly Slide
Scatterbug,Quiver Dance
Spewpa,Powder
Vivillon,Fury Cutter
Litleo,Burn Up
Pyroar,Blue Flare
Flabébé,Moonlight
Floette,Fairy Wind
Florges,Max Starfall
Skiddo,Razor Leaf
Gogoat,Bullet Seed
Pancham,Double Kick
Pangoro,Low Sweep
Furfrou,Captivate
Espurr,Amnesia
Meowstic Female,Mist Ball
Meowstic Male,Light That Burns The Sky
Honedge,Metal Claw
Doublade,Shift Gear
Aegislash Blade Forme,Meteor Mash
Aegislash Shield Forme,Searing Sunraze Smash
Spritzee,Max Starfall
Aromatisse,Misty Terrain
Swirlix,Flower Shield
Slurpuff,Max Starfall
Inkay,Payback
Malamar,Bite
Binacle,G-Max Volcalith
Barbaracle,Max Rockfall
Skrelp,Acid Armor
Dragalge,Shell Side Arm
Clauncher,Bubble
Clawitzer,Water Pledge
Helioptile,Nuzzle
Heliolisk,Pika Papow
Tyrunt,Splintered Stormshards
Tyrantrum,Tar Shot
Amaura,Meteor Beam
Aurorus,G-Max Volcalith
Sylveon,Fairy Wind
Hawlucha,Revenge
Dedenne,Spark
Carbink,Stone Edge
Goomy,Dragon Energy
Hisuian Sliggoo,Dragon Rush
Sliggoo,Draco Meteor
Goodra,Clangorous Soul
Hisuian Goodra,Roar Of Time
Klefki,Doom Desire
Phantump,G-Max Terror
Trevenant,Confuse Ray
Pumpkaboo Super Size,Menacing Moonraze Maelstrom
Pumpkaboo Large Size,Grudge
Pumpkaboo Small Size,Astonish
Pumpkaboo Average Size,Soul Stealing 7 Star Strike
Gourgeist Super Size,Shadow Sneak
Gourgeist Large Size,Shadow Claw
Gourgeist Small Size,Grudge
Gourgeist Average Size,Shadow Sneak
Bergmite,Max Hailstorm
Hisuian Avalugg,Freeze Dry
Avalugg,G-Max Resonance
Noibat,Hurricane
Noivern,Roost
Xerneas,Charm
Yveltal,Malicious Moonsault
Zygarde Complete Forme,Breaking Swipe
Zygarde 10% Forme,Dragon Hammer
Zygarde 50% Forme,Dragon Energy
Mega Diancie,Diamond Storm
Diancie,Rock Throw
Hoopa Unbound,Future Sight
Hoopa Confined,Mirror Coat
Volcanion,Eruption
Rowlet,Cotton Guard
Dartrix,Spiky Shield
Hisuian Decidueye,G-Max Drum Solo
Decidueye,Trop Kick
Litten,Blaze Kick
Torracat,Flame Wheel
Incineroar,Flame Burst
Popplio,G-Max Stonesurge
Brionne,Surf
Primarina,Bouncy Bubble
Pikipek,Helping Hand
Trumbeak,G-Max Gold Rush
Toucannon,Round
Yungoos,Foresight
Gumshoos,Uproar
Grubbin,Bug Bite
Charjabug,Spider Web
Vikavolt,Bug Buzz
Crabrawler,Octolock
Crabominable,Power Up Punch
Oricorio Pa'u Style,Guard Swap
Oricorio Pom-Pom Style,G-Max Volt Crash
Oricorio Sensu Style,Curse
Oricorio Baile Style,Eruption
Cutiefly,Steamroller
Ribombee,Defend Order
Rockruff,Smack Down
Own Tempo Rockruff,Meteor Beam
Lycanroc Midday Form,Rock Polish
Lycanroc Midnight Form,Sandstorm
Lycanroc Dusk Form,Sandstorm
Wishiwashi Solo Form,Aqua Tail
Wishiwashi School Form,Water Shuriken
Mareanie,G-Max Malodor
Toxapex,Cross Poison
Mudbray,Bonemerang
Mudsdale,Sand Tomb
Dewpider,Dive
Araquanid,Bouncy Bubble
Fomantis,Leaf Tornado
Lurantis,Leaf Storm
Morelull,Bullet Seed
Shiinotic,Aromatherapy
